"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","BIOMES_O_PLENTY_BIOME_PRIORITY","REGIONS_UNEXPLORED_BIOME","REGIONS_UNEXPLORED_BIOME_PRIORITY","MINECRAFT_BIOME"
"200","Flinders-Lofty montane woodlands","12","Mediterranean Forests, Woodlands & Scrub","Australasia","#A80000","#FE0000","#F30A19","biomesoplenty:highland","2","regions_unexplored:temperate_grove","1","minecraft:forest"
"201","Hampton mallee and woodlands","12","Mediterranean Forests, Woodlands & Scrub","Australasia","#CD8966","#FE0000","#FF3E00","biomesoplenty:shrubland","2","regions_unexplored:temperate_grove","1","minecraft:savanna"
"202","Jarrah-Karri forest and shrublands","12","Mediterranean Forests, Woodlands & Scrub","Australasia","#F5A27A","#FE0000","#EE1036","biomesoplenty:shrubland","2","regions_unexplored:shrubland","1","minecraft:savanna"
"203","Murray-Darling woodlands and mallee","12","Mediterranean Forests, Woodlands & Scrub","Australasia","#CD8966","#FE0000","#FF2100","biomesoplenty:shrubland","2","regions_unexplored:orchard","1","minecraft:savanna"
"204","Naracoorte woodlands","12","Mediterranean Forests, Woodlands & Scrub","Australasia","#B3493B","#FE0000","#E91551","biomesoplenty:mediterranean_forest","1","regions_unexplored:temperate_grove","2","minecraft:forest"
"205","Southwest Australia savanna","12","Mediterranean Forests, Woodlands & Scrub","Australasia","#C63901","#FE0000","#FF0018","biomesoplenty:mediterranean_forest","1","regions_unexplored:deciduous_forest","2","minecraft:forest"
"206","Southwest Australia woodlands","12","Mediterranean Forests, Woodlands & Scrub","Australasia","#A80000","#FE0000","#E45B1A","biomesoplenty:mediterranean_forest","1","regions_unexplored:orchard","2","minecraft:forest"
"207","Carnarvon xeric shrublands","13","Deserts & Xeric Shrublands","Australasia","#F27C62","#CC6767","#DC646F","biomesoplenty:dryland","2","regions_unexplored:dry_bushland","1","minecraft:savanna"
"208","Central Ranges xeric scrub","13","Deserts & Xeric Shrublands","Australasia","#CC5247","#CC6767","#AD7C6F","biomesoplenty:dryland","2","regions_unexplored:dry_bushland","1","minecraft:savanna"
"209","Gibson desert","13","Deserts & Xeric Shrublands","Australasia","#CF5167","#CC6767","#D7667D","","","regions_unexplored:joshua_desert","1","minecraft:desert"
"210","Great Sandy-Tanami desert","13","Deserts & Xeric Shrublands","Australasia","#FF7F7E","#CC6767","#A8756F","","","regions_unexplored:joshua_desert","1","minecraft:desert"
"211","Great Victoria desert","13","Deserts & Xeric Shrublands","Australasia","#B3493B","#CC6767","#D2698A","","","regions_unexplored:joshua_desert","1","minecraft:desert"
"212","Nullarbor Plains xeric shrublands","13","Deserts & Xeric Shrublands","Australasia","#F05D6F","#CC6767","#A33738","biomesoplenty:dryland","2","regions_unexplored:dry_bushland","1","minecraft:savanna"
"213","Pilbara shrublands","13","Deserts & Xeric Shrublands","Australasia","#E34661","#CC6767","#CD886B","biomesoplenty:dryland","2","regions_unexplored:dry_bushland","1","minecraft:savanna"
"214","Simpson desert","13","Deserts & Xeric Shrublands","Australasia","#E8805D","#CC6767","#F7596C","","","regions_unexplored:joshua_desert","1","minecraft:desert"
"215","Tirari-Sturt stony desert","13","Deserts & Xeric Shrublands","Australasia","#D86B42","#CC6767","#C87E6D","biomesoplenty:rocky_shrubland","2","regions_unexplored:joshua_desert","1","minecraft:desert"
"216","Western Australian Mulga shrublands","13","Deserts & Xeric Shrublands","Australasia","#F2AF5E","#CC6767","#F25C7F","biomesoplenty:dryland","2","regions_unexplored:dry_bushland","1","minecraft:savanna"
"217","New Guinea mangroves","14","Mangroves","Australasia","#E600AA","#FE01C4","#F511B0","biomesoplenty:wetland","1","regions_unexplored:old_growth_bayou","2","minecraft:mangrove_swamp"
"218","Andaman Islands rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#88C800","","","regions_unexplored:tropics","1","minecraft:jungle"
"219","Borneo lowland rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#98E500","#38A700","#41990D","","","regions_unexplored:rainforest","1","minecraft:jungle"
"220","Borneo montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#23DB01","#38A700","#0DC300","biomesoplenty:jade_cliffs","2","regions_unexplored:rainforest","1","minecraft:jungle"
"221","Borneo peat swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#47B700","#38A700","#509410","biomesoplenty:bog","1","regions_unexplored:bayou","2","minecraft:swamp"
"222","Brahmaputra Valley semi-evergreen forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#5AA500","#38A700","#22BE00","biomesoplenty:jacaranda_glade","2","regions_unexplored:rainforest","1","minecraft:jungle"
"223","Cardamom Mountains rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#004600","#38A700","#5D8F13","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"224","Chao Phraya freshwater swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#98E500","#38A700","#36B900","biomesoplenty:floodplain","1","regions_unexplored:marsh","2","minecraft:swamp"
"225","Chao Phraya lowland moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#5AA502","#38A700","#158A17","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"226","Chin Hills-Arakan Yoma montane forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4DE600","#38A700","#48B400","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"227","Christmas and Cocos Islands tropical forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#47B700","#38A700","#0D8500","","","regions_unexplored:tropics","1","minecraft:jungle"
"228","East Deccan moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#36C900","#38A700","#5BAF03","","","regions_unexplored:rainforest","1","minecraft:jungle"
"229","Eastern Java-Bali montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#304A00","#38A700","#1B8000","biomesoplenty:jade_cliffs","2","regions_unexplored:rainforest","1","minecraft:jungle"
"230","Eastern Java-Bali rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#23DB01","#38A700","#6DAA06","","","regions_unexplored:rainforest","1","minecraft:jungle"
"231","Greater Negros-Panay rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#267400","#38A700","#277B00","","","regions_unexplored:rainforest","1","minecraft:jungle"
"232","Hainan Island monsoon rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#304A00","#38A700","#0CA50A","biomesoplenty:tropics","1","regions_unexplored:tropics","2","minecraft:jungle"
"233","Himalayan subtropical broadleaf forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#304A00","#38A700","#59CF00","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"234","Irrawaddy freshwater swamp forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#004600","#38A700","#20A00D","biomesoplenty:floodplain","1","regions_unexplored:marsh","2","minecraft:swamp"
"235","Irrawaddy moist deciduous forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#4C7300","#38A700","#6ECA00","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"236","Jian Nan subtropical evergreen forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#23DB01","#38A700","#319B11","biomesoplenty:orchard","1","regions_unexplored:rainforest","2","minecraft:jungle"
"237","Kayah-Karen montane rain forests","1","Tropical & Subtropical Moist Broadleaf Forests","Indomalayan","#23DB01","#38A700","#81C500","biomesoplenty:jade_cliffs","2","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
