"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","BIOMES_O_PLENTY_BIOME_PRIORITY","REGIONS_UNEXPLORED_BIOME","REGIONS_UNEXPLORED_BIOME_PRIORITY","MINECRAFT_BIOME"
"500","Serra do Mar coastal forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#98E500","#38A700","#3E7B00","biomesoplenty:tropics","1","regions_unexplored:tropics","2","minecraft:jungle"
"501","Sierra de los Tuxtlas","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#4C7300","#38A700","#38A61D","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"502","Sierra Madre de Chiapas moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#36C900","#38A700","#80D002","","","regions_unexplored:rainforest","1","minecraft:jungle"
"503","Solim?es-Japur? moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#609900","#38A700","#519700","","","regions_unexplored:rainforest","1","minecraft:jungle"
"504","Southern Andean Yungas","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#70A800","#38A700","#07CB07","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"505","Southwest Amazon moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#2B8722","#38A700","#509700","","","regions_unexplored:rainforest","1","minecraft:jungle"
"506","Talamancan montane forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#4C7300","#38A700","#20C60B","","","regions_unexplored:sparse_rainforest","1","minecraft:jungle"
"507","Tapaj?s-Xingu moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#70A800","#38A700","#5E9200","","","regions_unexplored:rainforest","1","minecraft:jungle"
"508","Tocantins/Pindare moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#4DE600","#38A700","#37C10F","","","regions_unexplored:rainforest","1","minecraft:jungle"
"509","Trindade-Martin Vaz Islands tropical forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#70A800","#38A700","#5D9200","","","regions_unexplored:tropics","1","minecraft:jungle"
"510","Trinidad and Tobago moist forest","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#6C9400","#38A700","#4CBC13","","","regions_unexplored:rainforest","1","minecraft:jungle"
"511","Uatum?-Trombetas moist forests","1","Tropical & Subtropical Moist Broadleaf Forests","Neotropic","#259500","#38A700","#058D00","","","regions_unexplored:rainforest","1","minecraft:jungle"
