"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","BIOMES_O_PLENTY_BIOME_PRIORITY","REGIONS_UNEXPLORED_BIOME","REGIONS_UNEXPLORED_BIOME_PRIORITY","NATURES_SPIRIT_BIOME","NATURES_SPIRIT_BIOME_PRIORITY","MINECRAFT_BIOME"
"100","Madagascar succulent woodlands","13","Deserts & Xeric Shrublands","Afrotropic","#F7885B","#CC6767","#AD4E68","biomesoplenty:dryland","2","regions_unexplored:dry_bushland","3","natures_spirit:blooming_dunes","1","minecraft:savanna"
"101","Nama Karoo shrublands","13","Deserts & Xeric Shrublands","Afrotropic","#BA8D4A","#CC6767","#D88C89","biomesoplenty:dryland","1","regions_unexplored:dry_bushland","3","natures_spirit:xeric_plains","2","minecraft:savanna"
"102","Namaqualand-Richtersveld steppe","13","Deserts & Xeric Shrublands","Afrotropic","#DFB44C","#CC6767","#A86E50","biomesoplenty:dryland","1","regions_unexplored:dry_bushland","3","natures_spirit:xeric_plains","2","minecraft:savanna"
"103","Namib Desert","13","Deserts & Xeric Shrublands","Afrotropic","#E89B49","#CC6767","#D38B90","biomesoplenty:wasteland","1","regions_unexplored:joshua_desert","3","natures_spirit:scorched_dunes","2","minecraft:desert"
"104","Namibian savanna woodlands","13","Deserts & Xeric Shrublands","Afrotropic","#FCD135","#CC6767","#A36451","biomesoplenty:dryland","1","regions_unexplored:dry_bushland","3","natures_spirit:scorched_dunes","2","minecraft:savanna"
"105","Socotra Island xeric shrublands","13","Deserts & Xeric Shrublands","Afrotropic","#A80000","#CC6767","#CE445E","biomesoplenty:dryland","1","regions_unexplored:dry_bushland","3","natures_spirit:xeric_plains","2","minecraft:savanna"
"106","Somali montane xeric woodlands","13","Deserts & Xeric Shrublands","Afrotropic","#E8914E","#CC6767","#F88F81","biomesoplenty:rocky_shrubland","3","regions_unexplored:arid_mountains","1","natures_spirit:wooded_drylands","2","minecraft:savanna"
"107","Southwest Arabian coastal xeric shrublands","13","Deserts & Xeric Shrublands","Afrotropic","#F2B654","#CC6767","#C9476E","biomesoplenty:dryland","1","regions_unexplored:dry_bushland","3","natures_spirit:scorched_dunes","2","minecraft:savanna"
"108","Southwest Arabian Escarpment shrublands and woodlands","13","Deserts & Xeric Shrublands","Afrotropic","#B85E46","#CC6767","#F38584","biomesoplenty:rocky_shrubland","1","regions_unexplored:dry_bushland","3","natures_spirit:scorched_dunes","2","minecraft:savanna"
"109","Southwest Arabian highland xeric scrub","13","Deserts & Xeric Shrublands","Afrotropic","#D55063","#CC6767","#C4704A","biomesoplenty:dryland","1","regions_unexplored:arid_mountains","3","natures_spirit:scorched_dunes","2","minecraft:savanna"
"110","Succulent Karoo xeric shrublands","13","Deserts & Xeric Shrublands","Afrotropic","#C73F49","#CC6767","#EE8691","biomesoplenty:rocky_shrubland","3","regions_unexplored:dry_bushland","2","natures_spirit:blooming_dunes","1","minecraft:savanna"
"111","Central African mangroves","14","Mangroves","Afrotropic","#E600AA","#FE01C4","#F10089","biomesoplenty:wetland","1","regions_unexplored:bayou","3","natures_spirit:marsh","2","minecraft:mangrove_swamp"
"112","East African mangroves","14","Mangroves","Afrotropic","#E600AA","#FE01C4","#FF16FC","biomesoplenty:wetland","1","regions_unexplored:old_growth_bayou","3","natures_spirit:marsh","2","minecraft:mangrove_swamp"
"113","Guinean mangroves","14","Mangroves","Afrotropic","#E600AA","#FE01C4","#EC00A0","biomesoplenty:wetland","1","regions_unexplored:marsh","3","natures_spirit:marsh","2","minecraft:mangrove_swamp"
"114","Madagascar mangroves","14","Mangroves","Afrotropic","#E600AA","#FE01C4","#E91CFF","biomesoplenty:wetland","1","regions_unexplored:bayou","3","natures_spirit:marsh","2","minecraft:mangrove_swamp"
"115","Red Sea mangroves","14","Mangroves","Afrotropic","#E600AA","#FE01C4","#E700B7","biomesoplenty:wetland","1","regions_unexplored:old_growth_bayou","3","natures_spirit:marsh","2","minecraft:mangrove_swamp"
"116","Southern Africa mangroves","14","Mangroves","Afrotropic","#E600AA","#FE01C4","#FF228E","biomesoplenty:wetland","1","regions_unexplored:marsh","3","natures_spirit:marsh","2","minecraft:mangrove_swamp"
"117","Adelie Land tundra","11","Tundra","Antarctica","#63CFAB","#9ED7C2","#83BB9F","biomesoplenty:tundra","2","regions_unexplored:cold_boreal_taiga","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"118","Central South Antarctic Peninsula tundra","11","Tundra","Antarctica","#74E4F7","#9ED7C2","#B7E5DC","biomesoplenty:cold_desert","3","regions_unexplored:frozen_pine_taiga","2","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"119","Dronning Maud Land tundra","11","Tundra","Antarctica","#57A7B4","#9ED7C2","#84B697","biomesoplenty:tundra","2","regions_unexplored:icy_heights","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"120","East Antarctic tundra","11","Tundra","Antarctica","#75CCFA","#9ED7C2","#7DE0C2","biomesoplenty:cold_desert","3","regions_unexplored:frozen_tundra","2","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"121","Ellsworth Land tundra","11","Tundra","Antarctica","#72EBD8","#9ED7C2","#84B190","biomesoplenty:tundra","2","regions_unexplored:cold_boreal_taiga","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"122","Ellsworth Mountains tundra","11","Tundra","Antarctica","#5AB1D2","#9ED7C2","#80DBB5","biomesoplenty:tundra","2","regions_unexplored:frozen_tundra","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_slopes"
"123","Enderby Land tundra","11","Tundra","Antarctica","#4CAD9E","#9ED7C2","#84ACA7","biomesoplenty:tundra","2","regions_unexplored:icy_heights","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"124","Marie Byrd Land tundra","11","Tundra","Antarctica","#5EE6C0","#9ED7C2","#82D6A9","biomesoplenty:tundra","2","regions_unexplored:frozen_tundra","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"125","North Victoria Land tundra","11","Tundra","Antarctica","#65D6C4","#9ED7C2","#CAFFF3","biomesoplenty:tundra","2","regions_unexplored:cold_boreal_taiga","3","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"126","Northeast Antarctic Peninsula tundra","11","Tundra","Antarctica","#4CA68D","#9ED7C2","#83D19F","biomesoplenty:cold_desert","3","regions_unexplored:frozen_pine_taiga","2","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
"127","Northwest Antarctic Peninsula tundra","11","Tundra","Antarctica","#6FC1DB","#9ED7C2","#C9FBEA","biomesoplenty:cold_desert","3","regions_unexplored:icy_heights","2","natures_spirit:snowcapped_red_peaks","1","minecraft:snowy_plains"
