"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","BIOMES_O_PLENTY_BIOME_PRIORITY","REGIONS_UNEXPLORED_BIOME","REGIONS_UNEXPLORED_BIOME_PRIORITY","NATURES_SPIRIT_BIOME","NATURES_SPIRIT_BIOME_PRIORITY","MINECRAFT_BIOME"
"800","Northwest Iberian montane forests","12","Mediterranean Forests, Woodlands & Scrub","Palearctic","#D49E54","#FE0000","#FF0045","biomesoplenty:highland","2","regions_unexplored:temperate_grove","3","natures_spirit:lavender_fields","1","minecraft:forest"
"801","Pindus Mountains mixed forests","12","Mediterranean Forests, Woodlands & Scrub","Palearctic","#D49E54","#FE0000","#DD201A","biomesoplenty:mediterranean_forest","1","regions_unexplored:highland_fields","3","natures_spirit:chaparral","2","minecraft:forest"
"802","South Apennine mixed montane forests","12","Mediterranean Forests, Woodlands & Scrub","Palearctic","#720000","#FE0000","#FF5600","biomesoplenty:highland","1","regions_unexplored:temperate_grove","3","natures_spirit:chaparral","2","minecraft:forest"
"803","Southeast Iberian shrubs and woodlands","12","Mediterranean Forests, Woodlands & Scrub","Palearctic","#C63901","#FE0000","#D81E2C","biomesoplenty:shrubland","2","regions_unexplored:dry_bushland","3","natures_spirit:lavender_fields","1","minecraft:savanna"
"804","Southern Anatolian montane conifer and deciduous forests","12","Mediterranean Forests, Woodlands & Scrub","Palearctic","#C63901","#FE0000","#FF3A00","biomesoplenty:highland","1","regions_unexplored:temperate_grove","3","natures_spirit:chaparral","2","minecraft:forest"
"805","Southwest Iberian Mediterranean sclerophyllous and mixed forests","12","Mediterranean Forests, Woodlands & Scrub","Palearctic","#A80000","#FE0000","#D32243","biomesoplenty:mediterranean_forest","2","regions_unexplored:temperate_grove","3","natures_spirit:lavender_fields","1","minecraft:forest"
"806","Tyrrhenian-Adriatic sclerophyllous and mixed forests","12","Mediterranean Forests, Woodlands & Scrub","Palearctic","#B02745","#FE0000","#FD1D00","biomesoplenty:mediterranean_forest","1","regions_unexplored:orchard","3","natures_spirit:chaparral","2","minecraft:forest"
"807","Afghan Mountains semi-desert","13","Deserts & Xeric Shrublands","Palearctic","#FA774D","#CC6767","#F55384","biomesoplenty:rocky_shrubland","3","regions_unexplored:arid_mountains","1","natures_spirit:drylands","2","minecraft:desert"
"808","Alashan Plateau semi-desert","13","Deserts & Xeric Shrublands","Palearctic","#F9AB58","#CC6767","#C16A73","biomesoplenty:rocky_shrubland","3","regions_unexplored:dry_bushland","1","natures_spirit:drylands","2","minecraft:desert"
"809","Arabian desert","13","Deserts & Xeric Shrublands","Palearctic","#FFEBBE","#CC6767","#F08657","","","regions_unexplored:joshua_desert","1","natures_spirit:scorched_dunes","2","minecraft:desert"
"810","Arabian sand desert","13","Deserts & Xeric Shrublands","Palearctic","#FFAA01","#CC6767","#BC6B7D","","","regions_unexplored:joshua_desert","1","natures_spirit:scorched_dunes","2","minecraft:desert"
"811","Arabian-Persian Gulf coastal plain desert","13","Deserts & Xeric Shrublands","Palearctic","#F6CE5C","#CC6767","#EB775B","","","regions_unexplored:joshua_desert","1","natures_spirit:scorched_dunes","2","minecraft:desert"
"812","Azerbaijan shrub desert and steppe","13","Deserts & Xeric Shrublands","Palearctic","#B7393D","#CC6767","#B76D85","biomesoplenty:rocky_shrubland","3","regions_unexplored:dry_bushland","1","natures_spirit:xeric_plains","2","minecraft:desert"
"813","Badghyz and Karabil semi-desert","13","Deserts & Xeric Shrublands","Palearctic","#B86847","#CC6767","#E66A5E","biomesoplenty:rocky_shrubland","3","regions_unexplored:dry_bushland","1","natures_spirit:drylands","2","minecraft:desert"
"814","Baluchistan xeric woodlands","13","Deserts & Xeric Shrublands","Palearctic","#D94F5C","#CC6767","#B2816E","biomesoplenty:rocky_shrubland","3","regions_unexplored:dry_bushland","1","natures_spirit:wooded_drylands","2","minecraft:savanna"
"815","Caspian lowland desert","13","Deserts & Xeric Shrublands","Palearctic","#B85349","#CC6767","#E16164","biomesoplenty:cold_desert","1","regions_unexplored:outback","3","natures_spirit:drylands","2","minecraft:desert"
"816","Central Afghan Mountains xeric woodlands","13","Deserts & Xeric Shrublands","Palearctic","#A93800","#CC6767","#AD796F","biomesoplenty:rocky_shrubland","3","regions_unexplored:arid_mountains","1","natures_spirit:wooded_drylands","2","minecraft:savanna"
"817","Central Asian northern desert","13","Deserts & Xeric Shrublands","Palearctic","#DE8E59","#CC6767","#DC6474","biomesoplenty:cold_desert","1","regions_unexplored:outback","3","natures_spirit:drylands","2","minecraft:desert"
"818","Central Asian riparian woodlands","13","Deserts & Xeric Shrublands","Palearctic","#D06F42","#CC6767","#A8736F","biomesoplenty:dryland","3","regions_unexplored:dry_bushland","1","natures_spirit:wooded_drylands","2","minecraft:savanna"
"819","Central Asian southern desert","13","Deserts & Xeric Shrublands","Palearctic","#F7BA4F","#CC6767","#D76782","","","regions_unexplored:outback","1","natures_spirit:drylands","2","minecraft:desert"
"820","Central Persian desert basins","13","Deserts & Xeric Shrublands","Palearctic","#FDA87F","#CC6767","#A3373D","biomesoplenty:wasteland","1","regions_unexplored:joshua_desert","3","natures_spirit:drylands","2","minecraft:desert"
"821","East Arabian fog shrublands and sand desert","13","Deserts & Xeric Shrublands","Palearctic","#734C00","#CC6767","#D2698F","","","regions_unexplored:dry_bushland","1","natures_spirit:scorched_dunes","2","minecraft:desert"
"822","East Sahara Desert","13","Deserts & Xeric Shrublands","Palearctic","#D47A55","#CC6767","#A3373C","biomesoplenty:wasteland","1","regions_unexplored:joshua_desert","3","natures_spirit:stratified_desert","2","minecraft:desert"
"823","East Saharan montane xeric woodlands","13","Deserts & Xeric Shrublands","Palearctic","#FA774D","#CC6767","#CD846B","biomesoplenty:rocky_shrubland","3","regions_unexplored:arid_mountains","1","natures_spirit:scorched_dunes","2","minecraft:savanna"
