"ECO_ID","ECO_NAME","BIOME_NUM","BIOME_NAME","REALM","COLOR","COLOR_BIO","UNIQUE_ECOREGION_COLOR","BIOMES_O_PLENTY_BIOME","MINECRAFT_BIOME"
"700","Khangai Mountains conifer forests","5","Temperate Conifer Forests","Palearctic","#C1CF78","#458970","#2C8479","biomesoplenty:snowy_coniferous_forest","minecraft:old_growth_spruce_taiga"
"701","Mediterranean conifer and mixed forests","5","Temperate Conifer Forests","Palearctic","#00734C","#458970","#5BAE81","biomesoplenty:coniferous_forest","minecraft:taiga"
"702","Northeast Himalayan subalpine conifer forests","5","Temperate Conifer Forests","Palearctic","#81B256","#458970","#2D7F6C","biomesoplenty:snowy_coniferous_forest","minecraft:old_growth_pine_taiga"
"703","Northern Anatolian conifer and deciduous forests","5","Temperate Conifer Forests","Palearctic","#57C457","#458970","#5CA977","biomesoplenty:coniferous_forest","minecraft:snowy_taiga"
"704","Nujiang Langcang Gorge alpine conifer and mixed forests","5","Temperate Conifer Forests","Palearctic","#44C43C","#458970","#2E7A60","biomesoplenty:snowy_coniferous_forest","minecraft:old_growth_pine_taiga"
"705","Qilian Mountains conifer forests","5","Temperate Conifer Forests","Palearctic","#007C33","#458970","#5DA4A1","biomesoplenty:snowy_coniferous_forest","minecraft:old_growth_spruce_taiga"
"706","Qionglai-Minshan conifer forests","5","Temperate Conifer Forests","Palearctic","#29A26C","#458970","#2F7555","biomesoplenty:coniferous_forest","minecraft:taiga"
"707","Sayan montane conifer forests","5","Temperate Conifer Forests","Palearctic","#5CAB40","#458970","#5E9F95","biomesoplenty:snowy_coniferous_forest","minecraft:old_growth_spruce_taiga"
"708","Scandinavian coastal conifer forests","5","Temperate Conifer Forests","Palearctic","#00734C","#458970","#30704B","biomesoplenty:coniferous_forest","minecraft:old_growth_spruce_taiga"
"709","Tian Shan montane conifer forests","5","Temperate Conifer Forests","Palearctic","#60A65D","#458970","#5E9A8A","biomesoplenty:snowy_coniferous_forest","minecraft:old_growth_spruce_taiga"
"710","East Siberian taiga","6","Boreal Forests/Taiga","Palearctic","#CA9BFB","#7AB6F5","#5FBFD7","biomesoplenty:snowy_coniferous_forest","minecraft:taiga"
"711","Iceland boreal birch forests and alpine tundra","6","Boreal Forests/Taiga","Palearctic","#BD68F7","#7AB6F5","#A1CFFF","biomesoplenty:snowy_maple_woods","minecraft:taiga"
"712","Kamchatka taiga","6","Boreal Forests/Taiga","Palearctic","#5E2CC9","#7AB6F5","#6277D2","biomesoplenty:snowy_coniferous_forest","minecraft:taiga"
"713","Kamchatka-Kurile meadows and sparse forests","6","Boreal Forests/Taiga","Palearctic","#AD9EC9","#7AB6F5","#A5DAFC","biomesoplenty:snowy_fir_clearing","minecraft:taiga"
"714","Northeast Siberian taiga","6","Boreal Forests/Taiga","Palearctic","#AD84FA","#7AB6F5","#6484CD","biomesoplenty:snowy_coniferous_forest","minecraft:taiga"
"715","Okhotsk-Manchurian taiga","6","Boreal Forests/Taiga","Palearctic","#C87EF7","#7AB6F5","#51C8F7","biomesoplenty:coniferous_forest","minecraft:taiga"
"716","Sakhalin Island taiga","6","Boreal Forests/Taiga","Palearctic","#7E57D4","#7AB6F5","#89C7FF","biomesoplenty:coniferous_forest","minecraft:taiga"
"717","Scandinavian and Russian taiga","6","Boreal Forests/Taiga","Palearctic","#9F56E3","#7AB6F5","#54D7F2","biomesoplenty:snowy_coniferous_forest","minecraft:taiga"
"718","Trans-Baikal conifer forests","6","Boreal Forests/Taiga","Palearctic","#AE98E0","#7AB6F5","#8FD6FF","biomesoplenty:coniferous_forest","minecraft:taiga"
"719","Urals montane forest and taiga","6","Boreal Forests/Taiga","Palearctic","#9273DB","#7AB6F5","#5879ED","biomesoplenty:coniferous_forest","minecraft:old_growth_spruce_taiga"
"720","West Siberian taiga","6","Boreal Forests/Taiga","Palearctic","#AC6BED","#7AB6F5","#94E4FF","biomesoplenty:snowy_coniferous_forest","minecraft:taiga"
"721","Alai-Western Tian Shan steppe","8","Temperate Grasslands, Savannas & Shrublands","Palearctic","#FCEC35","#FEFF73","#D8F254","biomesoplenty:prairie","minecraft:savanna"
"722","Al-Hajar foothill xeric woodlands and shrublands","8","Temperate Grasslands, Savannas & Shrublands","Palearctic","#CA6634","#FEFF73","#FFE188","biomesoplenty:rocky_shrubland","minecraft:savanna"
"723","Al-Hajar montane woodlands and shrublands","8","Temperate Grasslands, Savannas & Shrublands","Palearctic","#FCA673","#FEFF73","#E5ED58","biomesoplenty:forested_field","minecraft:savanna"
